,movie_name,genre
729,You Will Meet a Tall Dark Stranger,Drama
730,Country Strong,Drama
731,Winnie Mandela,Drama
732,Never Let Me Go,Drama
733,The King’s Speech,Drama
734,Diary of a Wimpy Kid,Adventure
735,Ramona and Beezus,Adventure
736,Centurion,Action
737,The Roommate,Thriller/Suspense
738,Enter the Void,Drama
739,Remember Me,Drama
740,L'illusionniste,Adventure
741,Lottery Ticket,Comedy
742,Saw 3D,Horror
743,Youth in Revolt,Comedy
744,Carlos,Drama
745,The Last Station,Drama
746,Soul Surfer,Drama
747,Diary of a Wimpy Kid: Rodrick Rules,Adventure
748,127 Hours,Drama
749,The Crazies,Horror
750,The Switch,Romantic Comedy
751,Take Me Home Tonight,Comedy
752,Let Me In,Thriller/Suspense
753,Jackass 3D,Comedy
754,Monte Carlo,Romantic Comedy
755,Vampires Suck,Comedy
756,The Descendants,Drama
757,Daybreakers,Horror
758,The Tempest,Drama
759,Dylan Dog: Dead of Night,Horror
760,The American,Thriller/Suspense
761,Middle Men,Comedy
762,The Debt,Thriller/Suspense
763,Alpha and Omega 3D,Adventure
764,The Oogieloves in the BIG Balloon Adventure,Adventure
765,You Again,Comedy
766,All Good Things,Drama
767,She's Out of My League,Romantic Comedy
768,A Very Harold & Kumar 3D Christmas,Comedy
769,What's Your Number?,Romantic Comedy
770,For Colored Girls,Drama
771,The Beaver,Comedy
772,Death at a Funeral,Comedy
773,Stone,Drama
774,Kari gurashi no Arietti,Adventure
775,Footloose,Musical
776,Piranha 3D,Horror
777,Dear John,Drama
778,Straw Dogs,Thriller/Suspense
779,On the Road,Drama
780,Don't Be Afraid of the Dark,Horror
781,Sammy's avonturen: De geheime doorgang,Adventure
782,The Losers,Action
783,The Conspirator,Drama
784,The Help,Drama
785,The Eagle,Action
786,My Soul to Take,Horror
787,No Strings Attached,Romantic Comedy
788,Warrior,Drama
789,August: Osage County,Black Comedy
790,Belka i Strelka. Zvezdnye sobaki,Adventure
791,Legion,Thriller/Suspense
792,Case 39,Horror
793,Limitless,Thriller/Suspense
794,Kick-Ass,Black Comedy
795,Larry Crowne,Romantic Comedy
796,Machine Gun Preacher,Drama
797,Love and Other Drugs,Drama
798,The Next Three Days,Thriller/Suspense
799,Hoodwinked Too: Hood vs. Evil,Adventure
800,Hanna,Drama
801,Konferenz der Tiere,Adventure
802,Midnight in Paris,Romantic Comedy
803,Fright Night,Horror
804,Step Up 3D,Drama
805,Winnie the Pooh,Adventure
806,Letters to Juliet,Drama
807,Sanctum,Adventure
808,The Cabin in the Woods,Thriller/Suspense
809,Going the Distance,Romantic Comedy
810,Repo Men,Action
811,"Big Mommas: Like Father, Like Son",Comedy
812,Source Code,Thriller/Suspense
813,Wanderlust,Comedy
814,The Darkest Hour,Action
815,A Nightmare on Elm Street,Horror
816,Secretariat,Drama
817,Something Borrowed,Romantic Comedy
818,Furry Vengeance,Adventure
819,The Tree of Life,Drama
820,Abduction,Thriller/Suspense
821,Nanny McPhee and the Big Bang,Adventure
822,Biutiful,Drama
823,True Grit,Western
824,Horrible Bosses,Comedy
825,Gnomeo and Juliet,Comedy
826,Cop Out,Comedy
827,The Rite,Horror
828,The Town,Drama
829,Life as We Know It,Romantic Comedy
830,Water for Elephants,Drama
831,The Social Network,Drama
832,Morning Glory,Comedy
833,Season of the Witch,Thriller/Suspense
